frame,t_sec,face_idx,x1,y1,x2,y2,label,score,yaw_raw_deg,pitch_raw_deg,yaw_smooth_deg,pitch_smooth_deg,focused,alert,distracted_for_sec
0,0.000,0,1002,570,1050,610,AVA,0.9771,55.10,4.63,55.10,4.60,0,0,0.000
0,0.000,1,1336,642,1381,682,43f196cb,0.9019,35.61,-3.40,35.60,-3.40,0,0,0.000
0,0.000,2,25,591,86,645,UNKNOWN,0.2532,-11.05,-13.26,-11.00,-13.30,1,0,0.000
1,0.040,0,1001,569,1050,610,AVA,0.9774,56.24,-0.51,55.50,2.80,0,0,0.142
1,0.040,1,1336,642,1381,682,43f196cb,0.9013,36.30,-3.42,35.80,-3.40,0,0,0.142
1,0.040,2,25,591,86,645,UNKNOWN,0.2620,-11.00,-13.00,-11.00,-13.20,1,0,0.000
2,0.080,0,1001,570,1051,611,AVA,0.9833,53.20,2.56,54.70,2.70,0,0,0.259
2,0.080,1,1336,642,1381,682,43f196cb,0.9008,36.30,-3.42,36.00,-3.40,0,0,0.259
2,0.080,2,25,591,86,645,UNKNOWN,0.2650,-10.42,-13.66,-10.80,-13.30,1,0,0.000
3,0.120,0,1002,570,1050,610,AVA,0.9776,54.93,5.36,54.80,3.70,0,0,0.357
3,0.120,1,1336,642,1381,682,43f196cb,0.9008,36.43,-3.48,36.20,-3.40,0,0,0.357
3,0.120,2,25,591,86,645,UNKNOWN,0.2683,-10.52,-12.94,-10.70,-13.20,1,0,0.000
4,0.160,0,1001,570,1051,611,AVA,0.9835,53.19,2.37,54.20,3.20,0,0,0.449
4,0.160,1,1336,642,1381,682,43f196cb,0.9022,36.43,-3.48,36.30,-3.50,0,0,0.449
4,0.160,2,25,591,86,645,UNKNOWN,0.2611,-9.67,-12.42,-10.30,-12.90,1,0,0.000
5,0.200,0,1002,571,1050,611,AVA,0.9783,54.26,5.11,54.20,3.90,0,0,0.544
5,0.200,1,1336,642,1381,682,43f196cb,0.9003,36.73,-3.51,36.40,-3.50,0,0,0.544
5,0.200,2,25,591,86,645,UNKNOWN,0.3246,-12.67,-13.14,-11.20,-13.00,1,0,0.000
6,0.240,0,1002,570,1050,612,AVA,0.9658,55.67,4.10,54.70,4.00,0,0,0.643
6,0.240,1,1336,642,1381,682,43f196cb,0.8943,41.04,-3.40,38.00,-3.40,0,0,0.643
6,0.240,2,25,591,87,645,UNKNOWN,0.3342,-6.26,-16.70,-9.40,-14.30,1,0,0.000
7,0.280,0,1002,571,1050,612,AVA,0.9655,55.36,0.50,55.00,2.70,0,0,0.735
7,0.280,1,1336,642,1381,682,43f196cb,0.8950,40.16,-4.09,38.80,-3.70,0,0,0.735
7,0.280,2,25,591,87,645,UNKNOWN,0.3087,-1.27,-18.02,-6.60,-15.60,1,0,0.000
8,0.320,0,1002,571,1049,612,AVA,0.9629,56.92,-5.11,55.60,-0.00,0,1,0.830
8,0.320,1,1336,642,1381,682,43f196cb,0.8959,40.31,-4.08,39.30,-3.80,0,1,0.830
8,0.320,2,25,591,87,645,UNKNOWN,0.3017,-3.80,-18.14,-5.60,-16.50,1,0,0.000
9,0.360,0,1002,570,1050,612,AVA,0.9697,56.32,2.91,55.90,1.00,0,1,0.923
9,0.360,1,1336,642,1381,682,43f196cb,0.8913,40.87,-4.10,39.90,-3.90,0,1,0.923
9,0.360,2,25,591,87,645,UNKNOWN,0.2885,-4.36,-19.47,-5.20,-17.50,1,0,0.000
10,0.400,0,1003,571,1049,611,AVA,0.9568,59.69,4.61,57.20,2.30,0,1,1.017
10,0.400,1,1336,642,1381,682,43f196cb,0.8981,39.99,-5.01,39.90,-4.30,0,1,1.017
10,0.400,2,25,591,87,645,UNKNOWN,0.3225,-6.75,-22.06,-5.70,-19.10,0,0,0.000
11,0.440,0,1002,571,1049,612,AVA,0.9661,57.13,1.30,57.20,1.90,0,1,1.115
11,0.440,1,1336,642,1381,682,43f196cb,0.9004,45.31,-12.10,41.80,-7.00,0,1,1.115
11,0.440,2,25,591,87,645,UNKNOWN,0.3749,-7.66,-20.63,-6.40,-19.60,0,0,0.098
12,0.480,0,1002,571,1050,612,AVA,0.9650,55.24,-2.10,56.50,0.50,0,1,1.208
12,0.480,1,1336,642,1381,682,43f196cb,0.8976,45.69,-12.74,43.20,-9.00,0,1,1.208
12,0.480,2,25,591,87,645,UNKNOWN,0.3592,-8.13,-22.34,-7.00,-20.60,0,0,0.191
13,0.520,0,1002,571,1049,612,AVA,0.9540,56.43,1.45,56.50,0.80,0,1,1.308
13,0.520,1,1336,642,1381,682,43f196cb,0.9002,45.60,-12.74,44.00,-10.30,0,1,1.308
13,0.520,2,25,591,87,645,UNKNOWN,0.2827,-9.33,-21.58,-7.80,-20.90,0,0,0.290
14,0.560,0,1002,571,1050,612,AVA,0.9629,56.59,-1.23,56.50,0.10,0,1,1.403
14,0.560,1,1336,642,1381,682,43f196cb,0.8990,46.53,-13.03,44.90,-11.30,0,1,1.403
14,0.560,2,25,591,87,645,UNKNOWN,0.2856,-8.99,-21.29,-8.20,-21.10,0,0,0.386
15,0.600,0,1002,572,1049,611,AVA,0.9507,56.27,1.85,56.40,0.70,0,1,1.494
15,0.600,1,1336,642,1382,682,43f196cb,0.9044,48.23,-15.08,46.10,-12.60,0,1,1.494
15,0.600,2,25,591,87,645,UNKNOWN,0.3549,-9.66,-20.42,-8.70,-20.80,0,0,0.476
16,0.640,0,1002,571,1049,612,AVA,0.9588,58.17,1.02,57.00,0.80,0,1,1.590
16,0.640,1,1336,642,1382,682,43f196cb,0.9065,49.12,-14.53,47.10,-13.30,0,1,1.590
16,0.640,2,25,591,87,645,UNKNOWN,0.2840,-8.81,-16.19,-8.80,-19.20,0,0,0.573
17,0.680,0,1002,572,1050,612,AVA,0.9666,56.41,-2.58,56.80,-0.40,0,1,1.686
17,0.680,1,1336,642,1381,682,43f196cb,0.9098,46.90,-16.38,47.10,-14.40,0,1,1.686
17,0.680,2,25,591,87,645,UNKNOWN,0.2742,-6.99,-15.80,-8.10,-18.00,0,0,0.669
18,0.720,0,1002,572,1049,611,AVA,0.9536,58.00,1.26,57.20,0.20,0,1,1.778
18,0.720,1,1336,642,1381,682,43f196cb,0.9030,47.90,-16.11,47.30,-15.00,0,1,1.778
18,0.720,2,25,591,87,645,UNKNOWN,0.2927,-6.95,-15.99,-7.70,-17.30,1,0,0.000
19,0.760,0,1002,571,1049,612,AVA,0.9538,58.09,-2.66,57.50,-0.80,0,1,1.877
19,0.760,1,1336,642,1381,682,43f196cb,0.9014,46.64,-15.97,47.10,-15.30,0,1,1.877
19,0.760,2,25,591,87,645,UNKNOWN,0.2887,-5.70,-15.84,-7.00,-16.80,1,0,0.000
20,0.800,0,1003,572,1049,611,AVA,0.9500,57.14,1.83,57.40,0.10,0,1,1.972
20,0.800,1,1336,642,1381,682,43f196cb,0.8872,48.97,-16.69,47.80,-15.80,0,1,1.972
20,0.800,2,25,591,87,645,UNKNOWN,0.2993,-5.96,-17.68,-6.60,-17.10,1,0,0.000
21,0.840,0,1002,571,1049,611,AVA,0.9480,59.09,-0.75,58.00,-0.20,0,1,2.067
21,0.840,1,1336,642,1381,682,43f196cb,0.8888,48.01,-16.33,47.80,-16.00,0,1,2.067
21,0.840,2,25,591,87,645,UNKNOWN,0.2988,-4.54,-18.27,-5.90,-17.50,1,0,0.000
22,0.880,0,1002,571,1050,611,AVA,0.9502,57.46,5.76,57.80,1.90,0,1,2.161
22,0.880,1,1336,642,1381,682,43f196cb,0.8967,47.72,-16.52,47.80,-16.20,0,1,2.161
22,0.880,2,26,591,88,645,UNKNOWN,0.3102,0.66,-16.39,-3.60,-17.10,1,0,0.000
23,0.920,0,1003,571,1049,611,AVA,0.9421,58.69,4.42,58.10,2.80,0,1,2.254
23,0.920,1,1336,642,1381,682,43f196cb,0.8917,48.45,-17.53,48.00,-16.60,0,1,2.254
23,0.920,2,26,591,88,645,UNKNOWN,0.3336,1.60,-15.50,-1.80,-16.50,1,0,0.000
24,0.960,0,1002,571,1050,611,AVA,0.9580,55.07,1.52,57.00,2.30,0,1,2.350
24,0.960,1,1336,642,1381,682,43f196cb,0.8867,51.28,-18.04,49.20,-17.10,0,1,2.350
24,0.960,2,26,591,88,645,UNKNOWN,0.3096,-1.42,-16.94,-1.70,-16.70,1,0,0.000
